"subject";"log_concentration";"intensity";"AFC"
"S001";-1.82390874094432;3;0
"S010";-1.82390874094432;7;1
"S107";-1.82390874094432;3;0
"S003";-1.82390874094432;4;0
"S077";-1.82390874094432;3;0
"S097";-1.82390874094432;0;0
"S142";-1.82390874094432;4;0
"S183";-1.82390874094432;0;0
"S017";-1.82390874094432;3;1
"S140";-1.82390874094432;5;1
"S033";-1.82390874094432;2;0
"S113";-1.82390874094432;2;0
"S050";-1.82390874094432;1;1
"S116";-1.82390874094432;2;1
"S067";-1.82390874094432;2;0
"S124";-1.82390874094432;2;0
"S131";-1.82390874094432;0;0
"S002";-1.56863623584101;4;0
"S005";-1.56863623584101;2;0
"S008";-1.56863623584101;3;0
"S009";-1.56863623584101;5;1
"S012";-1.56863623584101;7;0
"S013";-1.56863623584101;8;1
"S014";-1.56863623584101;2;0
"S015";-1.56863623584101;7;1
"S021";-1.56863623584101;3;1
"S023";-1.56863623584101;0;1
"S026";-1.56863623584101;3;0
"S028";-1.56863623584101;3;0
"S030";-1.56863623584101;4;0
"S038";-1.56863623584101;4;1
"S040";-1.56863623584101;1;1
"S046";-1.56863623584101;1;1
"S049";-1.56863623584101;3;0
"S051";-1.56863623584101;1;1
"S052";-1.56863623584101;3;0
"S054";-1.56863623584101;5;0
"S058";-1.56863623584101;5;0
"S059";-1.56863623584101;6;1
"S061";-1.56863623584101;2;0
"S064";-1.56863623584101;6;0
"S069";-1.56863623584101;5;0
"S072";-1.56863623584101;2;1
"S079";-1.56863623584101;6;1
"S080";-1.56863623584101;2;0
"S087";-1.56863623584101;5;0
"S090";-1.56863623584101;1;0
"S099";-1.56863623584101;8;0
"S102";-1.56863623584101;6;1
"S104";-1.56863623584101;4;1
"S112";-1.56863623584101;3;0
"S115";-1.56863623584101;4;0
"S121";-1.56863623584101;3;1
"S122";-1.56863623584101;2;1
"S126";-1.56863623584101;1;1
"S127";-1.56863623584101;7;0
"S129";-1.56863623584101;4;0
"S132";-1.56863623584101;2;0
"S134";-1.56863623584101;3;0
"S135";-1.56863623584101;4;0
"S137";-1.56863623584101;1;1
"S139";-1.56863623584101;1;1
"S143";-1.56863623584101;1;1
"S150";-1.56863623584101;2;0
"S152";-1.56863623584101;2;1
"S154";-1.56863623584101;8;1
"S155";-1.56863623584101;5;0
"S156";-1.56863623584101;2;1
"S160";-1.56863623584101;3;0
"S169";-1.56863623584101;3;0
"S171";-1.56863623584101;0;0
"S172";-1.56863623584101;3;0
"S175";-1.56863623584101;3;0
"S176";-1.56863623584101;6;1
"S177";-1.56863623584101;1;0
"S179";-1.56863623584101;8;1
"S181";-1.56863623584101;2;0
"S182";-1.56863623584101;2;0
"S186";-1.56863623584101;3;0
"S190";-1.56863623584101;3;0
"S193";-1.56863623584101;4;1
"S018";-1.56863623584101;9;1
"S075";-1.56863623584101;6;0
"S084";-1.56863623584101;8;0
"S106";-1.56863623584101;4;1
"S109";-1.56863623584101;3;1
"S056";-1.56863623584101;5;0
"S065";-1.56863623584101;6;0
"S020";-1.56863623584101;2;0
"S025";-1.56863623584101;3;0
"S027";-1.56863623584101;3;1
"S035";-1.56863623584101;3;0
"S043";-1.56863623584101;1;0
"S045";-1.56863623584101;4;1
"S055";-1.56863623584101;5;1
"S078";-1.56863623584101;3;1
"S085";-1.56863623584101;6;1
"S092";-1.56863623584101;1;0
"S118";-1.56863623584101;6;0
"S128";-1.56863623584101;5;0
"S144";-1.56863623584101;5;1
"S191";-1.56863623584101;0;0
"S019";-1.56863623584101;3;0
"S022";-1.56863623584101;6;0
"S037";-1.56863623584101;6;0
"S039";-1.56863623584101;3;1
"S057";-1.56863623584101;2;0
"S060";-1.56863623584101;2;0
"S071";-1.56863623584101;2;0
"S073";-1.56863623584101;1;0
"S076";-1.56863623584101;6;0
"S088";-1.56863623584101;3;0
"S093";-1.56863623584101;3;1
"S101";-1.56863623584101;3;0
"S119";-1.56863623584101;1;1
"S120";-1.56863623584101;2;0
"S123";-1.56863623584101;1;0
"S125";-1.56863623584101;5;0
"S130";-1.56863623584101;1;0
"S147";-1.56863623584101;4;0
